"%s extension has been completely uninstalled.","%s extension has been completely uninstalled."
"%s extension has been %s.","%s extension has been %s."
"Cannot find package file for %s plugin.","Cannot find package file for %s plugin."
"Cannot find package file.","Cannot find package file."
"Cannot find package file for DRGeoIp module.","Cannot find package file for DRGeoIp module."
"Disable","Disable"
"Email Admin Notification","Email Admin Notification"
"Enable","Enable"
"Enabled","Enabled"
"Info","Info"
"Review Email Template","Review Email Template"
"Setting","Setting"
"This template overrides ""New Review to Admin (DetailReview)"" template","This template overrides ""New Review to Admin (DetailReview)"" template"
"This button will completely uninstall extension and delete all related information.","This button will completely uninstall extension and delete all related information."
"There was a problem with changing module configuration.","There was a problem with changing module configuration."
"There was a problem with uninstalling: %s","There was a problem with uninstalling: %s"
"There was a problem with uninstalling.","There was a problem with uninstalling."
"This will completely uninstall Detailed Review GeoIp extension. Are you sure?","This will completely uninstall Detailed Review GeoIp extension. Are you sure?"
"Uninstall","Uninstall"
"Uninstall Extension","Uninstall Extension"


