"Cannot change status for selected items","Cannot change status for selected items"
"Cannot find data for save","Cannot find data for save"
"Cannot find package file for Detailed Review Reminder plugin."."Cannot find package file for Detailed Review Reminder plugin."
"Cannot find package file for DRReminder module.","Cannot find package file for DRReminder module."
"Choose order status which is triggered to create review reminders","Choose order status which is triggered to create review reminders"
"Delay Period (days)","Delay Period (days)"
"Email Template","Email Template"
"Email Sender","Email Sender"
"Enabled","Enabled"
"If set to ""No"", alert emails will be generated, but will not be sent automatically, while manual sending will be allowed","If set to ""No"", alert emails will be generated, but will not be sent automatically, while manual sending will be allowed"
"Item was successfully saved","Item was successfully saved"
"Item #%s status was changed to On Hold","Item #%s status was changed to On Hold"
"Item #%s status was changed to Pending","Item #%s status was changed to Pending"
"Item #%s was deleted","Item #%s was deleted"
"Please select item(s)","Please select item(s)"
"Please enter period after notification email will be sent format is Xd Xh Xm Xs. For example: 1d 5h, 3h, 3h 20m 10s. If set to 0 or empty, email will be sent immediately.","Please enter period after notification email will be sent format is Xd Xh Xm Xs. For example: 1d 5h, 3h, 3h 20m 10s. If set to 0 or empty, email will be sent immediately."
"Post a review for my purchased products ","Post a review for my purchased products "
"Products without review from your last order","Products without review from your last order"
"Redirect to the product page","Redirect to the product page"
"Redirects directly to the product page if only one product was purchased in corresponding order","Redirects directly to the product page if only one product was purchased in corresponding order"
"Reminder #%s was successfully sent","Reminder #%s was successfully sent"
"Reminder sending is not allowed. Please, change Detailed Review Reminder extension configurations.","Reminder sending is not allowed. Please, change Detailed Review Reminder extension configurations"
"Send E-mails","Send E-mails"
"Settings","Settings"
"The selected items have the same status or were sent. You can not change the status.","The selected items have the same status or were sent. You can not change the status."
"There are no orders without reminder","There are no orders without reminder"
"There are no other products for review","There are no other products for review"
"There are no purchased products without your review","There are no purchased products without your review"
"There was a problem with uninstalling.","There was a problem with uninstalling."
"This button will completely uninstall extension and delete all related information.","This button will completely uninstall extension and delete all related information."
"This reminder does not exist","This reminder does not exist"
"This reminder has already been sent","This reminder has already been sent"
"This reminder is already on hold","This reminder is already on hold"
"This reminder is already pending","This reminder is already pending"
"This reminder no longer exists","This reminder no longer exists"
"This will completely uninstall Detailed Review Reminder extension. Are you sure?","This will completely uninstall Detailed Review Reminder extension. Are you sure?"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Total of %d reminder(s) were successfully sent.","Total of %d reminder(s) were successfully sent."
"Total of %d reminder(s) were successfully created","Total of %d reminder(s) were successfully created"
"Order Status","Order Status"
"Uninstall Extension","Uninstall Extension"
"You can not send this reminder now","You can not send this reminder now"
"Your other purchases without review","Your other purchases without review"
